,year,month,type,sex,age,fatal,area,location,sum,latitude,longitude,link
1045,1927,3,unprovoked,Male,17,No,new south wales,mereweather beach,2.0,-32.94839145,151.75666286721324,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.03.01-Pritchard.pdf
1046,1927,2,unprovoked,Male,unknown,No,queensland,brisbane river,9.0,-27.1609698,152.5361974,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.02.09-Gill.pdf
1047,1927,1,unprovoked,Male,15,Yes,new south wales,"greys point, port hacking",1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.01.03-Allum.pdf
1048,1927,0,unprovoked,Male,10,Yes,new south wales,15 miles up the cataract river,1.0,-27.2769305,150.4569563,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.00.00.b-Australia.pdf
1049,1927,0,unprovoked,Male,unknown,No,queensland,thursday island,8.0,-10.578645850000001,142.21892059042744,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.00.00.a-Lahou.pdf
1050,1926,12,unprovoked,Male,unknown,Yes,queensland,palm island,3.0,-18.726486,146.6057856762452,http://sharkattackfile.net/spreadsheets/pdf_directory/1926.12.02-Norman.pdf
1051,1926,11,unprovoked,Male,unknown,No,queensland,near thursday island,9.0,-10.5844089,142.2192935,http://sharkattackfile.net/spreadsheets/pdf_directory/1926.11.17-Noma.pdf
1052,1926,10,unprovoked,Male,17,No,new south wales,clarence river,2.0,-29.207293,152.59221,http://sharkattackfile.net/spreadsheets/pdf_directory/1926.10.23.b-Webster.pdf
1053,1926,3,unprovoked,Female,unknown,Yes,south australia,"west beach, brighton",1.0,-37.9265062,144.9890551,http://sharkattackfile.net/spreadsheets/pdf_directory/1926.03.17-Whyte.pdf
1054,1926,1,unprovoked,Male,unknown,No,victoria,unknown,unknown,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1926.01.00-Victoria.pdf
1055,1925,11,unprovoked,Male,55,Yes,western australia,cottesloe beach,3.0,-31.9957,115.751,http://sharkattackfile.net/spreadsheets/pdf_directory/1925.11.22-Ettelton.pdf
1056,1925,6,unclear,Missing,unknown,Missing,western australia,"princess royal harbor, near king georges sound",1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1925.06.15 Princess Royal Harbor.pdf
